dc:modified	dc:created	dc:title	dc:description	dc:identifier	dc:URI	notes	reference
2009-08-03T15:52:45+01:00	2009-08-03T15:52:45+01:00	1	http://vocabularies.gbif.org/habitat_iucn/1	1	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.1	http://vocabularies.gbif.org/habitat_iucn/1.1	1.1	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.2	http://vocabularies.gbif.org/habitat_iucn/1.2	1.2	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.3	http://vocabularies.gbif.org/habitat_iucn/1.3	1.3	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.4	http://vocabularies.gbif.org/habitat_iucn/1.4	1.4	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.5	http://vocabularies.gbif.org/habitat_iucn/1.5	1.5	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.6	http://vocabularies.gbif.org/habitat_iucn/1.6	1.6	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.7	http://vocabularies.gbif.org/habitat_iucn/1.7	1.7	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.8	http://vocabularies.gbif.org/habitat_iucn/1.8	1.8	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.9	http://vocabularies.gbif.org/habitat_iucn/1.9	1.9	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	2	http://vocabularies.gbif.org/habitat_iucn/2	2	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	2.1	http://vocabularies.gbif.org/habitat_iucn/2.1	2.1	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	2.2	http://vocabularies.gbif.org/habitat_iucn/2.2	2.2	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3	http://vocabularies.gbif.org/habitat_iucn/3	3	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.1	http://vocabularies.gbif.org/habitat_iucn/3.1	3.1	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.2	http://vocabularies.gbif.org/habitat_iucn/3.2	3.2	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.3	http://vocabularies.gbif.org/habitat_iucn/3.3	3.3	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.4	http://vocabularies.gbif.org/habitat_iucn/3.4	3.4	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.5	http://vocabularies.gbif.org/habitat_iucn/3.5	3.5	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.6	http://vocabularies.gbif.org/habitat_iucn/3.6	3.6	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.7	http://vocabularies.gbif.org/habitat_iucn/3.7	3.7	http://rs.gbif.org/terms/1.0/habitatIUCN		
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.8	http://vocabularies.gbif.org/habitat_iucn/3.8	3.8	http://rs.gbif.org/terms/1.0/habitatIUCN		
