dc:modified	dc:created	dc:title	standard concept	xml:lang	reference	standard_code
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Forest	1	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1	1	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Boreal	1.1	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.1	1.1	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Subarctic	1.2	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.2	1.2	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Subantarctic	1.3	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.3	1.3	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Temperate	1.4	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.4	1.4	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Subtropical/Tropical Dry	1.5	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.5	1.5	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Subtropical/Tropical Moist Lowland	1.6	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.6	1.6	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Subtropical/Tropical Mangrove Vegetation Above High Tide Level	1.7	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.7	1.7	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Subtropical/Tropical Swamp	1.8	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.8	1.8	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Subtropical/Tropical Moist Montane	1.9	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	1.9	1.9	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Savanna	2	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	2	2	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Dry Savanna	2.1	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	2.1	2.1	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Moist Savana	2.2	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	2.2	2.2	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Shrubland	3	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3	3	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Subarctic	3.1	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.1	3.1	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Subantarctic	3.2	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.2	3.2	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Boreal	3.3	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.3	3.3	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Temperate	3.4	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.4	3.4	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Subtropical/Tropical Dry	3.5	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.5	3.5	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Subtropical/Tropical Moist	3.6	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.6	3.6	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	Subtropical/Tropical High Altitude	3.7	en	en	title
2009-08-03T15:52:46+01:00	2009-08-03T15:52:46+01:00	3.7	3.7	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	Mediterranean-type Shrubby Vegetation	3.8	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	3.8	3.8	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	Grassland	4	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	4	4	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	Tundra	4.1	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	4.1	4.1	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	Subarctic	4.2	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	4.2	4.2	en	en	title
